
* [萬年大樓] coords:  | desc: 有些店舖臭名昭著，尤其在一番賞方面有藏簽前科，不建議新手直接去消費，建議做好功課
* [R79] coords:  | desc: 誠品書街，其實整體偏文青風格，但會有快閃，比方現在最紅的宅一番，有在推廣臺灣作品，學生逛完後可以去雙連的文昌宮拜拜。
* [三創] coords:  | desc: 冷氣真的很涼，建議擦乾汗再進去，不然會感冒，每個樓層都有椅子，真的適合逛街。
* [台北地下街] coords:  | desc: 商家很多，商品也很多元，很適合逛街，但同樣是某些店家臭名昭著，不建議新手直接去消費，建議做好功課才會逛得比較開心。假日在廣場會有市集擺攤，會有不少日版周邊掉落。
* [南港lalaport] coords:  | desc: 雖然食物不好吃，但是逛街還是滿不錯的，除了jump shop，也有三麗鷗扭蛋和公仔店。一樓也有哈利波特專店。

=== Layer 7: 快閃咖啡廳（請以官方消息為主，喜歡的作品有再來） (4 個地點) ===
* [animate cafe 台北北門店] coords: 121.511508,25.0460875,0 | desc: 快閃咖啡廳不一定都是這幾家，還是要以實際消息為主，但動漫主題咖啡廳的重點是動漫，圖好看周邊好看比較是重點，餐點飲料方面期望值最好放低，人生會快樂很多
* [FANFANS CAFÉ 粉粉快閃主題餐廳] coords: 121.5052317,25.0448572,0 | desc: 快閃咖啡廳不一定都是這幾家，還是要以實際消息為主，但動漫主題咖啡廳的重點是動漫，圖好看周邊好看比較是重點，餐點飲料方面期望值最好放低，人生會快樂很多
* [MyAnime Café 動漫主題咖啡廳] coords: 121.5312585,25.0452613,0 | desc: 快閃咖啡廳不一定都是這幾家，還是要以實際消息為主，但動漫主題咖啡廳的重點是動漫，圖好看周邊好看比較是重點，餐點飲料方面期望值最好放低，人生會快樂很多
* [animate cafe 台北西門店] coords: 121.5098341,25.0453715,0 | desc: 快閃咖啡廳不一定都是這幾家，還是要以實際消息為主，但動漫主題咖啡廳的重點是動漫，圖好看周邊好看比較是重點，餐點飲料方面期望值最好放低，人生會快樂很多

=== Layer 8: 會辦展覽的地方（請以官方消息為主，有展再來） (11 個地點) ===
* [ふるいち×マンガ展 (FURU1 × manga10) 漫畫展 台灣] coords: 121.5111889,25.0453034,0 | desc: 看官網簡介是以漫畫為主，會辦展覽，但我沒去過
* [CWT] coords: 121.5351162,25.0216891,0 | desc: CWT(同人誌，女性向多)
* [FF] coords: 121.52076,25.0696272,0 | desc: FF(同人誌，男性向多)
* [NiCE] coords: 121.6181159,25.0566019,0 | desc: NiCE(同人誌，希望每年都能看到你)
